Activity ID	Activity ID	Activity ID	Activity Name	Original Duration	Planned Start	Planned Finish
MOBILIZATION			MOBILIZATION	10.00	2026-01-26	2026-02-04
MOBILIZATION	SPMT		SPMT	10.00	2026-01-26	2026-02-04
MOBILIZATION	SPMT	A1000	Mobilization of 1st set of SPMT; Asembly + Function Test	1.00	2026-01-26	2026-01-26
MOBILIZATION	SPMT	A1010	Mobilization of 2nd set of SPMT; Assembly + Function test	1.00	2026-02-04	2026-02-04
MOBILIZATION	MARINE		MARINE	0.50	2026-01-26	2026-01-26
MOBILIZATION	MARINE	A1001	Mobilization of Marine Equipment and Steelworks	0.50	2026-01-26	2026-01-26
MOBILIZATION	JACKING EQUIPMENT, STEEL BRIDGE		JACKING EQUIPMENT, STEEL BRIDGE	1.00	2026-01-29	2026-01-30
MOBILIZATION	JACKING EQUIPMENT, STEEL BRIDGE	A2010	Mobilization of Jacking Equipment and Steel bridge (prior LCT's arrival to AGI with TR 1&2!))	1.00	2026-01-29	2026-01-30
DEMOBILIZATION			DEMOBILIZATION	10.00	2026-02-27	2026-03-08
DEMOBILIZATION	SPMT		SPMT	8.50	2026-02-27	2026-03-07
DEMOBILIZATION	SPMT	A1980	Demobilization of 2nd set of SPMT	1.00	2026-02-27	2026-02-27
DEMOBILIZATION	SPMT	A1990	Demobilization of 1st set of SPMT	1.00	2026-03-06	2026-03-07
DEMOBILIZATION	MARINE		MARINE	1.00	2026-03-08	2026-03-08
DEMOBILIZATION	MARINE	A2000	Demobilization of Marine Equipment and Steelworks	1.00	2026-03-08	2026-03-08
DEMOBILIZATION	JACKING EQUIPMENT, STEEL BRIDGE		JACKING EQUIPMENT, STEEL BRIDGE	1.00	2026-03-08	2026-03-08
DEMOBILIZATION	JACKING EQUIPMENT, STEEL BRIDGE	A2020	Demobilization of Jacking Equipment and Steel bridge	1.00	2026-03-08	2026-03-08
OPERATIONAL			OPERATIONAL	40.00	2026-01-27	2026-03-07
OPERATIONAL	Beam Replacement		Beam Replacement	29.00	2026-01-27	2026-02-24
OPERATIONAL	Beam Replacement	A1002	Beam Replacement AGI TR Unit 1 (TR Bay 4) - Two 5t forklifts required	1.00	2026-01-27	2026-01-27
OPERATIONAL	Beam Replacement	A1003	Beam Replacement AGI TR Unit 2 (TR Bay 3) - Two 5t forklifts required	1.00	2026-01-28	2026-01-28
OPERATIONAL	Beam Replacement	A1013	Beam Replacement AGI TR Unit 3 (TR Bay 2) - Two 5t forklifts required	1.00	2026-02-05	2026-02-05
OPERATIONAL	Beam Replacement	A1023	Beam Replacement AGI TR Unit 4 (TR Bay 1) - Two 5t forklifts required	1.00	2026-02-06	2026-02-06
OPERATIONAL	Beam Replacement	A1033	Beam Replacement AGI TR Unit 5 (TR Bay 5) - Two 5t forklifts required	1.00	2026-02-15	2026-02-15
OPERATIONAL	Beam Replacement	A1043	Beam Replacement AGI TR Unit 6 (TR Bay 6) - Two 5t forklifts required	1.00	2026-02-16	2026-02-17
OPERATIONAL	Beam Replacement	A1053	Beam Replacement AGI TR Unit 7 (TR Bay 7) - Two 5t forklifts required	1.00	2026-02-24	2026-02-24
OPERATIONAL	Deck Preparations		Deck Preparations	2.00	2026-01-27	2026-01-28
OPERATIONAL	Deck Preparations	A1004	Deck Preparations (D-ring cutting; marking, steel sets installation) - One 5t forklift and Crane required	1.00	2026-01-27	2026-01-27
OPERATIONAL	Deck Preparations	A1005	Deck Preparations (Steel sets installation, welding) - Crane Required for steel sets installation	1.00	2026-01-28	2026-01-28
OPERATIONAL	AGI TR Units 1-2		AGI TR Units 1-2	16.00	2026-01-29	2026-02-13
OPERATIONAL	AGI TR Units 1-2	A1030	Loading of AGI TR Unit 1 on SPMT; lashing; Shifting to Mina Zayed Port RoRo Jetty area	0.30	2026-01-29	2026-01-29
OPERATIONAL	AGI TR Units 1-2	A1040	RoRo Ramp Installation - 5t Frokift and Crane required	0.30	2026-01-29	2026-01-29
OPERATIONAL	AGI TR Units 1-2	A1060	Load-out of AGL TR Unit 1; stool down (10am-11am)	0.20	2026-01-29	2026-01-29
OPERATIONAL	AGI TR Units 1-2	A1070	RoRo ramp removal; Seafastening AGL TR Unit 1 - Crane required	1.00	2026-01-29	2026-01-30
OPERATIONAL	AGI TR Units 1-2	A1071	Loading of AGI TR Unit 2 on SPMT; lashing	0.50	2026-01-29	2026-01-29
OPERATIONAL	AGI TR Units 1-2	A1072	Shifting of AGL TR Unit 2 to Jetty area	0.05	2026-01-30	2026-01-30
OPERATIONAL	AGI TR Units 1-2	A1073	RoRo Ramp Installation - Crane required	0.30	2026-01-30	2026-01-30
OPERATIONAL	AGI TR Units 1-2	A1074	Load-out of AGI TR Unit 2; stoold down; securing of SPMT (8am-9am)	0.30	2026-01-30	2026-01-30
OPERATIONAL	AGI TR Units 1-2	A1075	Removal of RoRo Ramp; Sea fastening AGI TR Unit 2 - Crane required	1.00	2026-01-30	2026-01-31
OPERATIONAL	AGI TR Units 1-2	A1080	MWS + MPI + Final Preparations	0.20	2026-01-31	2026-01-31
