| 날짜 (Date)     | 최대 풍속 (Max Wind) [kn]| 최대 돌풍 (Max Gust) [kn] | 풍향 (Wind Dir) [°] | 유의파고 (Wave Height) [m] | 샤말? (Shamal?) | 출항 판단 (Departure)        |
| -------------- | --------------------- | --------------------- | ----------------- | ---------------------- | ------------- | ------------------------ |
| 2026-01-15     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-16     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-17     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-18     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-19     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-20     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-21     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-22     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-23     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-24     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-25     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-26     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-27     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-28     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-29     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-30     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-01-31     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-02-01     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-02-02     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-02-03     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| 2026-02-04     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
| **2026-02-05** | **22.0**              | **28.6**              | **300**           | **1.2**                | **Yes**       | **출항 불가 (Not Possible)** |
| **2026-02-06** | **22.0**              | **28.6**              | **300**           | **1.2**                | **Yes**       | **출항 불가 (Not Possible)** |
| **2026-02-07** | **22.0**              | **28.6**              | **300**           | **1.2**                | **Yes**       | **출항 불가 (Not Possible)** |
| **2026-02-08** | **22.0**              | **28.6**              | **300**           | **1.2**                | **Yes**       | **출항 불가 (Not Possible)** |
| **2026-02-09** | **22.0**              | **28.6**              | **300**           | **1.2**                | **Yes**       | **출항 불가 (Not Possible)** |
| **2026-02-10** | **22.0**              | **28.6**              | **300**           | **1.2**                | **Yes**       | **출항 불가 (Not Possible)** |
| **2026-02-11** | **22.0**              | **28.6**              | **300**           | **1.2**                | **Yes**       | **출항 불가 (Not Possible)** |
| **2026-02-12** | **22.0**              | **28.6**              | **300**           | **1.2**                | **Yes**       | **출항 불가 (Not Possible)** |
| **2026-02-13** | **22.0**              | **28.6**              | **300**           | **1.2**                | **Yes**       | **출항 불가 (Not Possible)** |
| **2026-02-14** | **22.0**              | **28.6**              | **300**           | **1.2**                | **Yes**       | **출항 불가 (Not Possible)** |
| 2026-02-15     | 16.0                  | 20.8                  | 315               | 0.6                    | No            | **조건부** (Conditional)    |
