thread_id,relation_type,confidence,parent_row,child_row,parent_no,child_no,parent_delivery_time,child_delivery_time,subject_norm,below_threshold
thread_0,heuristic,0.29,469,465,470,466,2024-10-07T09:28:45+04:00,2024-10-07T09:57:38+04:00,(TRIP-24) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,True
thread_0,heuristic,0.95,465,466,466,467,2024-10-07T09:57:38+04:00,2024-10-08T11:57:02+04:00,(TRIP-24) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.59,466,467,467,468,2024-10-08T11:57:02+04:00,2024-10-09T10:50:10+04:00,(TRIP-25) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.59,467,468,468,469,2024-10-09T10:50:10+04:00,2024-10-11T09:11:10+04:00,(TRIP-26) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.2,468,5,469,6,2024-10-11T09:11:10+04:00,2024-10-17T13:48:16.772000+04:00,(TRIP-28) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,True
thread_0,heuristic,0.5,465,471,466,472,2024-10-07T09:57:38+04:00,2024-10-18T04:21:07+04:00,[HVDC-JOPETWIL-71-CHANGE SCHEDULE 19TH.OCT] (TRIP-28) SAIL AWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.5,471,973,472,974,2024-10-18T04:21:07+04:00,2024-11-01T16:54:27+04:00,[HVDC-JOPETWIL-71] (TRIP-31) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.5,973,974,974,975,2024-11-01T16:54:27+04:00,2024-11-19T10:44:49+04:00,[HVDC-JOPETWIL-71] (TRIP-35) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,True
thread_0,heuristic,0.29,974,910,975,911,2024-11-19T10:44:49+04:00,2024-11-21T08:48:22+04:00,(TRIP-36) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,True
thread_0,heuristic,0.29,910,975,911,976,2024-11-21T08:48:22+04:00,2024-11-21T08:50:41+04:00,[HVDC-JOPETWIL-71] (TRIP-36) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,True
thread_0,heuristic,0.68,975,924,976,925,2024-11-21T08:50:41+04:00,2024-11-24T04:17:16+04:00,[HVDC-JOPETWIL-71] (TRIP-36) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.5,974,1231,975,1232,2024-11-19T10:44:49+04:00,2024-12-02T07:23:00+04:00,[HVDC-JOPETWIL-71] (TRIP-37) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.95,1231,1230,1232,1231,2024-12-02T07:23:00+04:00,2024-12-04T10:31:05+04:00,[HVDC-JOPETWIL-71] (TRIP-37) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.29,1230,1229,1231,1230,2024-12-04T10:31:05+04:00,2024-12-05T14:08:51+04:00,[HVDC-JOPETWIL-71] (TRIP-38) SAIL AWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,True
thread_0,heuristic,0.5,924,1103,925,1104,2024-11-24T04:17:16+04:00,2024-12-08T04:42:58+04:00,(TRIP-39) SAIL AWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.29,1103,1228,1104,1229,2024-12-08T04:42:58+04:00,2024-12-08T06:00:10+04:00,[HVDC-JOPETWIL-71] (TRIP-39) SAIL AWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,True
thread_0,heuristic,0.5,1231,1232,1232,1233,2024-12-02T07:23:00+04:00,2024-12-15T07:09:06+04:00,AUTOMATIC REPLY: [HVDC-JOPETWIL-71] (TRIP-40) SAIL AWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.56,1232,1233,1233,1234,2024-12-15T07:09:06+04:00,2024-12-20T12:16:14+04:00,AUTOMATIC REPLY: [HVDC-JOPETWIL-71] (TRIP-41) SAIL AWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.2,1233,1328,1234,1329,2024-12-20T12:16:14+04:00,2025-01-07T04:39:00+04:00,(TRIP-46) SAIL AWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,True
thread_0,heuristic,0.29,1328,1534,1329,1535,2025-01-07T04:39:00+04:00,2025-01-07T04:57:22+04:00,[HVDC-JOPETWIL-71] (TRIP-46) SAIL AWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,True
thread_0,heuristic,0.5,1534,1535,1535,1536,2025-01-07T04:57:22+04:00,2025-01-13T12:43:16+04:00,AUTOMATIC REPLY: [HVDC-JOPETWIL-71] (TRIP-46) SAIL AWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.5,1535,4149,1536,4150,2025-01-13T12:43:16+04:00,2025-04-09T04:22:03+04:00,[HVDC-JOPETWIL-71] (TRIP-47) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,True
thread_0,heuristic,0.59,4149,4150,4150,4151,2025-04-09T04:22:03+04:00,2025-04-10T12:15:09+04:00,[HVDC-JOPETWIL-71] (TRIP-48) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.59,4150,4151,4151,4152,2025-04-10T12:15:09+04:00,2025-04-10T12:55:46+04:00,[HVDC-JOPETWIL-71_CORRECTION OF VOYAGE REFERENCE] (TRIP-48) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.5,4150,4153,4151,4154,2025-04-10T12:15:09+04:00,2025-04-24T05:01:13+04:00,[HVDC-JOPETWIL-71] (TRIP-51) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.9,4153,5773,4154,5774,2025-04-24T05:01:13+04:00,2025-05-01T07:54:28+04:00,[HVDC-JOPETWIL-71] (TRIP-51) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.59,5773,5774,5774,5775,2025-05-01T07:54:28+04:00,2025-05-01T08:14:46+04:00,(TRIP-50) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.59,5773,5775,5774,5776,2025-05-01T07:54:28+04:00,2025-05-02T07:23:58+04:00,[HVDC-JOPETWIL-71] (TRIP-50) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
thread_0,heuristic,0.95,5773,5776,5774,5777,2025-05-01T07:54:28+04:00,2025-05-06T04:24:10+04:00,[HVDC-JOPETWIL-71] (TRIP-51) SAILAWAY SURVEY - MW4 TARGET JETTY MUSSAFAH,False
