"6.2      Initial Loading Condition
The loading condition prior to the initiation of the load-out operation is summarized below.
Table 6.1: Initial Loading Condition"										
S.No.	Description	Weight	LCG(1)	TCG(1)	VCG(1)					
S.No.	Description	(MT)	(M)	(M)	(M)					
1	LIGHTSHIP	770.16	26.35	-0.005	3.88					
2	CREW EFFECTS	1.2	5.5	0	8.17					
3	DO.P (43.7%)	1.26	11.243	-6.25	2.36					
4	DO.S (43.7%)	1.26	11.243	6.25	2.36					
5	FODB1.C (27.3%)	5.56	12.983	0.01	0.31					
6	FODB1.P (43.5%)	5.64	12.693	-4.16	0.48					
7	FODB1.S (68.4%)	8.87	12.533	4.22	0.61					
8	FOW1.P (43.8%)	4.3	12.853	-6.25	1.62					
9	FOW1.S (43.8%)	4.3	12.853	6.25	1.62					
10	FWB2.P (100%)	110.66	50.093	-4.33	2.05					
11	FWB2.S (100%)	110.66	50.093	4.33	2.05					
12	FWCG1.P (10%)	14.85	42.543	-3.92	0.3					
13	FWCG1.S (10%)	14.85	42.543	3.94	0.3					
14	FWCG2.P(10%)	14.85	35.043	-3.92	0.3					
15	FWCG2.S (10%)	14.85	35.043	3.94	0.3					
16	LFRO.P (43.6%)	63.71	19.433	-3.93	0.9					
17	LFRO.S (43.6%)	63.71	19.433	3.93	0.9					
18	FW1.P (100%)	23.18	5.973	-6.08	3.1					
19	FW1.S (100%)	23.18	5.973	6.08	3.1					
20	FW2.P (100%)	13.89	0.113	-4.63	3.51					
21	FW2.S (100%)	13.89	0.113	4.63	3.51					
	Total	1284.85	28.323	0	3					
										
6.3      Vessel Floating Condition										
Table 6.2: Vessel Floating Condition										
Description	Initial Loading Condition									
Draft Aft (m)	2.46									
Draft Fwd (m)	1.63									
Draft Mid (m)	2.05									
Trim (m)	0.83 (+ve by stern)									
Heel (deg)	0.00									
7.        BALLAST SEQUENCE										
The Ballast sequence for the loadout operation of Transformer-1 and Transformer-2 are provided below. A minimum tide level of 1.8 m shall be maintained throughout the entire load-out operation. Refer Appendix A for the Loadout sequence.										
7.1      Ballast Sequence for Transformer-1										
Table 7.1: Ballast Arrangement at each stage										
Stages	Weight (MT)	FW1.P	FW1.S	FWB2.P	FWB2.S	FW2.P	FW2.S			
		% Filled	% Filled	% Filled	% Filled	% Filled	% Filled			
1	0	100	100	100	100	100	100			
2	60	100	100	100	100	100	100			
3	120	100	100	50	50	100	100			
4	180	100	100	0	0	100	100			
5	240	100	100	0	0	100	100			
6	285	100	100	0	0	100	100			
										
Table 7.2: Vessel Floating Condition at each stage										
Stages	Weight (MT)	Draft Aft (m)	Draft Fwd (m)	Draft Mid (m)	Trim (m)	Heel (deg)				
1	0	2.46	1.63	2.05	0.83	-0.07				
2	60	2.30	1.92	2.11	0.38	-0.07				
3	120	2.30	1.80	2.05	0.50	-0.07				
4	180	2.30	1.68	1.99	0.62	-0.07				
5	240	2.11	1.98	2.05	0.13	-0.07				
6	285	1.97	2.20	2.09	-0.23	-0.08				
										
7.2      Ballast sequence for Transformer-2										
Table 7.3: Ballast Arrangement at each stage										
Stages	Weight (MT)	FW1.P	FW1.S	FWB2.P	FWB2.S	FW2.P	FW2.S			
		% Filled	% Filled	% Filled	% Filled	% Filled	% Filled			
1	0	100	100	100	100	100	100			
2	60	100	100	100	100	100	100			
3	120	100	100	50	50	100	100			
4	180	100	100	0	0	100	100			
5	240	100	100	0	0	100	100			
6	285	100	100	0	0	100	100			
Notes:										
1. Refer to Appendix-A for Loadout Plan.										
Table 7.4: Vessel Floating Condition at each stage										
Stages	Weight (MT)	Draft Aft (m)	Draft Fwd (m)	Draft Mid (m)	Trim (m)	Heel (deg)				
1	0	2.69	1.98	2.34	0.71	-0.07				
2	60	2.54	2.26	2.40	0.28	-0.07				
3	120	2.54	2.14	2.34	0.40	-0.07				
4	180	2.53	2.03	2.28	0.50	-0.08				
5	240	2.38	2.31	2.35	0.07	-0.08				
6	285	2.26	2.51	2.39	-0.25	-0.08				
